CODIGO;CODBARRA1;CODBARRA2;CODBARRA3;CODAUXILI1;CODAUXILI2;DESCRICAO;DESCREDUZI;DESCDETA1;DESCDETA2;DESCDETA3;DESCDETA4;LOCALIZA;SUBGRUPO;GRUPO;DEPARTAMEN;MARCA;PRECOVENDA;MARGEM;ESTOQUE;ESTOQUEMIN;ESTOQUEIDE;ESTOQUEPEN;UNIDADE;PESO;SITUACAO;TIPO;DATAALT;AGRUPAMENT;FRACIONADO;CUSTOMEDIO;PERCOMIS;NAOCOMIS;FATORCONV;CST;ORIGEM;NCM;ICMSIN;ICMSINREV;ICMSININD;ICMSINPER1;ICMSINPER2;ICMS;ICMSCN;ICMSCR;ICMSINDU;ICMSPER1;ICMSPER2;PISCOF;ALIPI;CREDICMS;PPB;FABPROPRI;RECSTANT;GRADEPRINC;GRADE1;GRADE2
4220;42208;;;;;MEMORIA DDR3 1GB 1333 MARKVISION;MEMORIA DDR3 1GB 1333 MAR;;;;;;4;1;1;0;60;40;0;5;0;0;;0;A;N;20130914;0;;34,578;0;;;;2;84733042;2;2;2;0;0;6;6;6;6;0;0;1;0;0;0;;;0;0;0
4221;42215;;;;;MEMORIA DDR3 4GB 1333 MARKVISION MVD34096MLD;MEMORIA DDR3 4GB 1333 MAR;;;;;;4;1;1;0;220;40;1;5;0;0;;0;A;N;20150911;0;;148,458;0;;;;2;84733042;2;2;2;0;0;6;6;6;6;0;0;1;0;0;0;;;0;0;0
4222;42222;;;;;SUPORTE PANDA 2011 - 5 USUARIOS - L12AP11MB5;SUPORTE PANDA 2011 - 5 US;;;;;;0;0;0;0;1,5;0;0;0;0;0;;0;A;N;;0;;1,279;0;;;;0;85234022;1;1;1;0;0;4;4;7;7;0;0;1;0;0,15;0;;;0;0;0
4223;42239;;;;;LIC. SOFT. PANDA 2011 - 5 USUAR - L12AP11MB5;LIC. SOFT. PANDA 2011 - 5;;;;;;0;0;0;0;129;0;0;0;0;0;;0;A;N;;0;;77,35;0;;;;0;0;1;1;1;0;0;3;3;3;3;0;0;1;0;0;0;;;0;0;0
4224;42246;;;;;HD SATA 2,0TB 7200 WESTERN SATA 3 64MB WD20EZRX-B;HD SATA 2,0TB 7200 WESTER;;;;;;27;1;1;0;549;40;0;0;0;0;;0;A;N;20150619;0;;368,351;0;;;;2;84717012;2;2;2;0;0;6;6;6;6;0;0;1;0;0;0;;;0;0;0
4225;42253;;;;;PROJETOR LG BS254 2500 LUMENS SVGA 800X600;PROJETOR LG BS254 2500 LU;;;;;;0;0;0;0;1299;40;0;0;0;0;;0;A;N;;0;;904,387;0;;;;2;85286910;1;1;1;0;0;4;4;7;7;0;0;1;0;90,44;0;;;0;0;0
4226;42260;;;;;COMP. CENTR. FASTLINE 3010 C2D/2GB/500GB/LINUX;COMP. CENTR. FASTLINE 301;;;;;;92;1;1;0;899;50;0;0;0;0;;0;A;N;20120109;0;;648,522;0;;;;0;84715010;2;2;2;0;0;6;6;6;6;0;0;2;0;115,865;0;;;0;0;0
4227;42277;;;;;COMP. CENTR. ELITELINE 4030 I7/2GB/500G/9500GT;COMP. CENTR. ELITELINE 40;;;;;;92;1;1;0;1799;50;0;0;0;0;;0;A;N;20120109;0;;1248,826;0;;;;4;84715010;2;2;2;0;0;9;9;9;9;0;0;2;0;223,11;640;;;0;0;0
4228;42284;;;;;IMPRESSORA HP OFFICEJET PRO 8000DN;IMPRESSORA HP OFFICEJET P;;;;;;64;1;1;0;449;40;0;1;0;0;;0;A;N;;0;;307,039;0;;;;4;84433231;1;1;1;0;0;8;8;8;8;0;0;1;0;21,49;356;;;0;0;0
4229;42291;;;;;PLACA MAE ASUS P7H55 I3/I5/I7 S/R;PLACA MAE ASUS P7H55 I3/I;;;;;;3;1;1;0;390;40;0;0;0;0;;0;A;N;20120109;0;;275,356;0;;;;2;84733041;2;2;2;0;0;6;6;6;6;0;0;1;0;28,73;0;;;0;0;0
4230;42307;;;;;PLACA DE VIDEO PCI-E 1GB GTS 450 DDR5;PLACA DE VIDEO PCI-E 1GB;;;;;;22;1;1;0;490;40;0;0;0;0;;0;A;N;;0;;343,453;0;;;;2;84718000;1;1;1;0;0;1;1;1;1;0;0;1;0;35,85;0;;;0;0;0
4231;42314;;;;;COMP. CENTR. FASTLINE 3010 I3/2GB/500GB/LINUX;COMP. CENTRIUM;;;;;;92;1;1;0;949;50;0;0;0;0;;0;A;N;20120109;0;;687,885;0;;;;4;84715010;2;2;2;0;0;9;9;9;9;0;0;2;0;122,898;640;;;0;0;0
4232;42321;;;;;MONITOR LED 23 LG E2360V;MONITOR LED 23 LG E2360V;;;;;;28;1;1;0;635;40;0;0;0;0;;0;A;N;20120109;0;;445;0;;;;4;85285120;2;2;2;0;0;9;9;9;9;0;0;1;0;31,15;769;;;0;0;0
4233;42338;;;;;PAD MOUSE GEL POSITECH DIVERSOS;PAD MOUSE BASE GEL POSITE;;;;;;10;1;1;0;9;50;0;3;0;0;;0;A;N;20131021;0;;4,405;0;;;;0;40161090;1;1;1;0;0;4;4;7;7;0;0;1;0;0;0;;;0;0;0
4234;42345;;;;;"PAINEL DE FECHAMENTO P/ RACK 19"" 1U";PAINEL DE FECHAMENTO P/ R;;;;;;8;1;1;0;10;50;0;5;0;0;;0;A;N;;0;;4,9;0;;;;0;85177091;1;1;1;0;0;1;1;1;1;0;0;1;0;0,59;0;;;0;0;0
4235;42352;;;;;"BANDEJA 1U 300MM P/ RACK 19""";BANDEJA 1U 300MM P/ RACK;;;;;;9;1;1;0;40;50;0;0;0;0;;0;A;N;;0;;26,9;0;;;;0;85177091;1;1;1;0;0;4;4;7;7;0;0;1;0;3,23;0;;;0;0;0
